"Date","Marketplace","ASIN","SKU","Name","SalesOrganic","SalesPPC","SalesSponsoredProducts","SalesSponsoredDisplay","UnitsOrganic","UnitsPPC","UnitsSponsoredProducts","UnitsSponsoredDisplay","Refunds","PromoValue","SponsoredProducts","SponsoredDisplay","SponsoredВrands","SponsoredBrandsVideo","Google ads","Facebook ads","GiftWrap","Shipping","RefundCost","Value of returned items","ProductCost Unsellable Refunds","AmazonFees","EstimatedPayout","Cost of Goods","VAT","GrossProfit","NetProfit","Margin","Real ACOS","Sessions","Unit Session Percentage","Ads spend","Sellable Returns %","ROI"
"07.10.2025","Amazon.de","B0DYT76B7Y","D1S5PZ1","dog1® Zahnpflege Pulver für Hunde – Made IN Germany - Natürliches Mittel gegen Mundgeruch & Zahnstein - Zahnpflege Hund - Zahnputzflocken mit Zahnsteinentferner – Von Tierärzten entwickelt - 200 g","39,82","83,97","83,97","0,00","1","3","3","0","0","0,00","-20,32","0,00","0,00","0,00","0,00","0,00","0,00","-3,35","0,00","0,00","0,00","-37,71","62,41","-24,20","-8,10","30,11","30,11","24,32","16,41","25","16,00","-20,32","0,00","124,42"
"07.10.2025","Amazon.de","B0F1BBLKZ2","D1S5TG1","dog1 Gelenktabletten Hund mit Grünlippmuschel & Glucosamin – Made IN Germany – Gelenk- & Knochenschutz – Gelenkpulver für Hunde – Von Tierärzten entwickelt – 120 Tabletten","29,95","0,00","0,00","0,00","1","0","0","0","0","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-10,14","19,81","-8,85","-1,96","9,00","9,00","30,05","0,00","8","12,50","0,00","0,00","101,69"
"07.10.2025","Amazon.de","B0DY3PTWMZ","D1SXPD1A","DOG1 Probiotika Pulver für Hunde – Made IN Germany - Unterstützt Darmflora & Verdauung - Probiotika Hund bei Durchfall - Präbiotika & Darmkur Pulver – Von Tierärzten entwickelt - 100g","24,95","0,00","0,00","0,00","1","0","0","0","0","0,00","-1,55","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-10,71","12,69","-4,91","-1,63","6,15","6,15","24,65","6,21","7","14,29","-1,55","0,00","125,25"
"07.10.2025","Amazon.de","B0D9142GKW","D1A11","DOG1 Vitamin B Komplex Hund – Made IN Germany - 8 essentielle B-Vitamine (B1–B12) als Pulver - Für Energie, Verdauung und Immunsystem - Natürliche Rezeptur - Laborgeprüft - Von Tierärzten entwickelt","0,00","0,00","0,00","0,00","0","0","0","0","0","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-0,56","-0,56","0,00","0,00","-0,56","-0,56","0,00","0,00","0","0,00","0,00","0,00","0,00"
"07.10.2025","Amazon.de","B0DMT9XKFQ","D1A21A","DOG1 8-in-1 Nahrungsergänzungsmittel (2X) mit Vitamin B Komplex und Glucosamin, Rundumversorgung mit Bierhefe, Probiotika gegen Durchfall, Alternative zu Gelenktabletten, ca. 60 TL","0,00","0,00","0,00","0,00","0","0","0","0","0","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-0,75","-0,75","0,00","0,00","-0,75","-0,75","0,00","0,00","2","0,00","0,00","0,00","0,00"
"07.10.2025","Amazon.de","B0DYTFHMN7","D1S3PG1","DOG1® Grünlippmuschelpulver für Hunde – Made IN Germany - 100% natürlich & vollfett mit Omega 3 – Grünlippmuschel Hund unterstützt Gelenke & Beweglichkeit – Von Tierärzten entwickelt – 250 g","0,00","0,00","0,00","0,00","0","0","0","0","0","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-1,88","-1,88","0,00","0,00","-1,88","-1,88","0,00","0,00","1","0,00","0,00","0,00","0,00"
"07.10.2025","Amazon.de","B0DN6PSJJG","D1SXLG1","DOG1® Lachsöl Hund – Made IN Germany - 100% reines Fischöl – Reich an Omega 3 & Omega 6 Fettsäuren – Unterstützt Fell, Haut & Gelenke – Ohne Zusätze - Von Tierärzten entwickelt - 1 Liter","0,00","0,00","0,00","0,00","0","0","0","0","0","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-1,32","-1,32","0,00","0,00","-1,32","-1,32","0,00","0,00","2","0,00","0,00","0,00","0,00"
"08.10.2025","Amazon.de","B0DYT76B7Y","D1S5PZ1","dog1® Zahnpflege Pulver für Hunde – Made IN Germany - Natürliches Mittel gegen Mundgeruch & Zahnstein - Zahnpflege Hund - Zahnputzflocken mit Zahnsteinentferner – Von Tierärzten entwickelt - 200 g","1,96","27,99","27,99","0,00","0","1","1","0","0","0,00","-20,17","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-7,89","1,89","-6,05","-1,96","-6,12","-6,12","-20,43","67,35","18","5,56","-20,17","0,00","-101,16"
"08.10.2025","Amazon.de","B0DY3PTWMZ","D1SXPD1A","DOG1 Probiotika Pulver für Hunde – Made IN Germany - Unterstützt Darmflora & Verdauung - Probiotika Hund bei Durchfall - Präbiotika & Darmkur Pulver – Von Tierärzten entwickelt - 100g","24,95","0,00","0,00","0,00","1","0","0","0","0","0,00","-3,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-7,12","14,83","-4,91","-1,63","8,29","8,29","33,23","12,02","5","20,00","-3,00","0,00","168,84"
"08.10.2025","Amazon.de","B0D9142GKW","D1A11","DOG1 Vitamin B Komplex Hund – Made IN Germany - 8 essentielle B-Vitamine (B1–B12) als Pulver - Für Energie, Verdauung und Immunsystem - Natürliche Rezeptur - Laborgeprüft - Von Tierärzten entwickelt","0,00","0,00","0,00","0,00","0","0","0","0","0","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1","0,00","0,00","0,00","0,00"
