"Date","Marketplace","ASIN","SKU","Name","SalesOrganic","SalesPPC","SalesSponsoredProducts","SalesSponsoredDisplay","UnitsOrganic","UnitsPPC","UnitsSponsoredProducts","UnitsSponsoredDisplay","Refunds","PromoValue","SponsoredProducts","SponsoredDisplay","SponsoredВrands","SponsoredBrandsVideo","Google ads","Facebook ads","GiftWrap","Shipping","RefundCost","Value of returned items","ProductCost Unsellable Refunds","AmazonFees","EstimatedPayout","Cost of Goods","VAT","GrossProfit","NetProfit","Margin","Real ACOS","Sessions","Unit Session Percentage","Ads spend","Sellable Returns %","ROI"
"07.10.2025","Amazon.de","B07JMPGQZB","HAV3S","happybrush® Nachhaltige Aufsteckbürsten für elektrische Schall-Zahnbürste Eco VIBE 3 - Schwarz/Mint - 3x3 Stück","4299,32","2501,76","2501,76","0,00","136","106","106","0","0","-47,66","-456,89","0,00","-37,91","0,00","0,00","0,00","0,00","-2,06","0,00","0,00","0,00","-1917,98","4338,58","-1444,74","-1083,62","1810,22","1810,22","26,62","7,28","1017","23,80","-494,80","0,00","125,30"
"07.10.2025","Amazon.de","B0B61J9L57","HB2B72","happybrush® Nachhaltige Aufsteckbürsten für elektrische Schall-Zahnbürste Eco VIBE 3 - Allblack - 3x3 Stück","2919,29","446,31","446,31","0,00","101","19","19","0","0","-25,26","-90,78","-2,54","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-938,67","2308,35","-716,40","-537,03","1054,92","1054,92","31,34","2,77","422","28,44","-93,32","0,00","147,25"
"07.10.2025","Amazon.de","B0FGK2M4FX","HB2B567","happybrush® Schallzahnbürste Eco Vibe 3+ – ""Die Höhle der Löwen"" – TESTSIEGER – Elektrische Zahnbürste mit 8 Wochen Akku – Ultraschall Zahnbürsten – Allblack","3866,09","1646,50","1646,50","0,00","67","37","37","0","3","0,00","-1451,62","0,00","0,00","0,00","0,00","0,00","0,00","-3,24","-119,70","21,00","0,00","-1067,19","2849,84","-2226,00","-855,41","-210,57","-210,57","-3,82","26,33","1558","6,74","-1451,62","33,33","-9,46"
"07.10.2025","Amazon.de","B079YV7BK2","SB-F6FL-09WV","happybrush Vegane Aktivkohle Zahnpasta SuperBlack mit Minze Geschmack 5er Pack - Schwarze Zahnpasta für weisse Zähne und Zahnaufhellung - Vorratspack (5 x 75ml)","1061,04","280,52","280,52","0,00","67","22","22","0","0","-14,97","-96,99","-2,00","-1,61","0,00","0,00","0,00","0,00","-1,46","0,00","0,00","0,00","-536,73","687,80","-374,69","-213,38","99,73","99,73","7,43","7,50","426","21,13","-100,60","0,00","26,62"
"07.10.2025","Amazon.de","B0DJ168MWQ","HB2B90","happybrush® Elektrische Zahnbürste Kinder - „Die Höhle der Löwen” - TESTSIEGER* - Kinderzahnbürste im Paw Patrol Design - Inkl. 6 Aufsteckbürsten - 4 Monate Power Akku","2008,36","1263,26","1263,26","0,00","38","32","32","0","0","0,00","-240,28","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-831,63","2199,71","-1096,20","-524,98","578,53","578,53","17,68","7,34","1321","5,30","-240,28","0,00","52,78"
"07.10.2025","Amazon.de","B07PVC7MFF","HB2B38","happybrush® Schallzahnbürste Eco Vibe 3 – ""Die Höhle der Löwen"" – TESTSIEGER – Elektrische Zahnbürste mit 6 Wochen Akku – Ultraschall Zahnbürsten – Inkl. 3 Aufsteckbürsten - Black/Mint","3754,02","600,38","600,38","0,00","56","11","11","0","0","0,00","-161,16","0,00","-39,25","-82,29","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-1026,60","3045,10","-1547,70","-697,54","799,86","799,86","18,37","6,49","1106","6,06","-282,70","0,00","51,68"
"07.10.2025","Amazon.de","B08MW5T16J","HB2B75","happybrush® Aufsteckbürsten für elektrische rotierende Zahnbürsten - Kompatibel mit R2, sowie Modellen anderer Hersteller - AllBlack - 3x3 Stück","794,52","734,10","734,10","0,00","23","31","31","0","1","-5,60","-114,05","-3,07","-4,86","0,00","0,00","0,00","0,00","-3,30","-30,79","0,00","0,00","-449,90","917,05","-441,18","-238,65","237,22","237,22","15,52","7,98","256","21,09","-121,98","0,00","53,77"
"07.10.2025","Amazon.de","B0BYF8X7T7","HB2B64","happybrush Aufsteckbürsten 9 Stück (3x3) für elektrische Schallzahnbürste VIBE 3 | Wechselköpfe mit Icons zur Unterscheidung | Original Ersatzbürsten mit abgerundeten Borsten(Blau/Ocean)","1085,60","117,45","117,45","0,00","38","5","5","0","0","-1,40","-14,30","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-351,34","836,01","-256,71","-192,85","386,45","386,45","32,12","1,19","211","20,38","-14,30","0,00","150,54"
"07.10.2025","Amazon.de","B0DTJB165Q","HB2B234","happybrush® Schallzahnbürste Eco Vibe 3 – ""Die Höhle der Löwen"" – TESTSIEGER – Elektrische Zahnbürste mit 6 Wochen Akku – Ultraschall Zahnbürsten – Inkl. 4 Aufsteckbürsten - Black","2193,38","491,22","491,22","0,00","32","9","9","0","0","0,00","-69,92","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-572,04","2042,64","-949,15","-430,01","663,48","663,48","24,71","2,60","531","7,72","-69,92","0,00","69,90"
"07.10.2025","Amazon.de","B0DJ38CND2","HB2B93","happybrush® Schallzahnbürste Eco Vibe 3 – ""Die Höhle der Löwen"" – TESTSIEGER – Elektrische Zahnbürste mit 6 Wochen Akku – Ultraschall Zahnbürsten – Inkl. 3 Aufsteckbürsten - Sunrise","2491,04","109,16","109,16","0,00","38","2","2","0","0","0,00","-28,76","-0,53","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-585,11","1985,80","-899,60","-416,99","669,21","669,21","25,74","1,13","417","9,59","-29,29","0,00","74,39"
"07.10.2025","Amazon.de","B0DJ3CJ41F","HB2B94","happybrush Aufsteckbürsten 9 Stück (3x3) für elektrische Schallzahnbürste ECO VIBE Sunrise Wechselköpfe mit Icons zur Unterscheidung | Original Ersatzbürsten mit abgerundeten Borsten (Pastelltöne)","901,21","140,94","140,94","0,00","31","6","6","0","0","0,00","-12,20","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-286,66","743,29","-220,89","-167,18","355,22","355,22","34,09","1,17","198","18,69","-12,20","0,00","160,81"
"07.10.2025","Amazon.de","B0CR4G4PFF","HB2B74","happybrush® [Testsieger 2024*] Elektrische Zahnbürste Eco R2 - Nachhaltige rotierende Zahnbürste mit Power-Akku inkl. 3 Aufsteckbürsten und Zahnpasta Schwarz, von Zahnexperten empfohlen","1323,03","377,73","377,73","0,00","25","9","9","0","0","0,00","-91,69","-0,48","-18,67","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-466,00","1123,92","-741,54","-273,67","108,71","108,71","6,39","6,52","509","6,68","-110,84","0,00","14,66"
"07.10.2025","Amazon.de","B0DTJ7JHQZ","HB2B107","happybrush® Schallzahnbürste Eco Vibe 3 – ""Die Höhle der Löwen"" – TESTSIEGER – Elektrische Zahnbürste mit 6 Wochen Akku – Ultraschall Zahnbürsten – Inkl. 3 Aufsteckbürsten - Ocean","1951,80","0,00","0,00","0,00","30","0","0","0","0","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-550,94","1400,86","-734,10","-314,39","352,38","352,38","18,05","0,00","369","8,13","0,00","0,00","48,00"
"07.10.2025","Amazon.de","B0DVH5GXV2","HB2B98","happybrush® Munddusche - TESTSIEGER* – 100 Tage testen - Kabelloser Water Flosser für Zahnreinigung & Zahnzwischenräume – Effektiver Irrigator für gesunde Mundhygiene","1348,14","453,42","453,42","0,00","21","9","9","0","0","0,00","-114,71","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-346,51","1340,34","-511,50","-290,18","538,66","538,66","29,90","6,37","469","6,40","-114,71","0,00","105,31"
"07.10.2025","Amazon.de","B09ZYNQ6PZ","HB2B60","happybrush® Nachhaltige Aufsteckbürsten aus Bambus für elektrische Schall-Zahnbürste Eco VIBE 3 - Sensitiv bei empfindlichen Zähnen und Zahnfleisch - 3x3 Stück","597,98","164,43","164,43","0,00","20","7","7","0","0","-8,44","-14,47","0,00","-4,25","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-236,70","498,55","-161,73","-120,93","215,89","215,89","28,32","2,46","207","13,04","-18,72","0,00","133,49"
"07.10.2025","Amazon.de","B0DJ36GS5Q","HB2B91","happybrush Aufsteckbürsten 9 Stück (3x3) für elektrische Schallzahnbürste ECO VIBE 3 Agnes und PawPatrol Wechselköpfe | Original Ersatzbürsten mit abgerundeten Borsten (PawPatrol, 1 stück (9er Pack))","493,00","234,90","234,90","0,00","16","10","10","0","1","0,00","-27,63","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-30,79","0,00","0,00","-213,56","455,92","-195,78","-111,62","148,52","148,52","20,40","3,80","162","16,05","-27,63","0,00","75,86"
