"Date","Marketplace","ASIN","SKU","Name","SalesOrganic","SalesPPC","SalesSponsoredProducts","SalesSponsoredDisplay","UnitsOrganic","UnitsPPC","UnitsSponsoredProducts","UnitsSponsoredDisplay","Refunds","PromoValue","SponsoredProducts","SponsoredDisplay","SponsoredВrands","SponsoredBrandsVideo","Google ads","Facebook ads","GiftWrap","Shipping","Refund Commission","Refund DigitalServicesFee","Refund FBACustomerReturnPerUnitFee","Refund GoodwillPrincipal","Refund Principal","Refund Promotion","Refund RefundCommission","Refund ShippingCharge","Refund ShippingChargeback","Refund ShippingTax","Refund ShippingTaxDiscount","Refund ShipPromotion","Refund TaxDiscount","RefundsCostsDamaged","Value of returned items","ProductCost Unsellable Refunds","Commission","COMPENSATED_CLAWBACK","DigitalServicesFee","FBADisposalFee","FBAPerUnitFulfillmentFee","FBAStorageFee","MISSING_FROM_INBOUND","MISSING_FROM_INBOUND_CLAWBACK","REVERSAL_REIMBURSEMENT","EstimatedPayout","ProductCost Sales","ProductCost Non-Amazon","ProductCost MultichannelCosts","ProductCost MissingFromInbound","ProductCost CostOfMissingReturns","VAT","GrossProfit","NetProfit","Margin","Real ACOS","Sessions","Unit Session Percentage","Ads spend","Sellable Returns %","ROI"
"07/10/2025","Amazon.de","B0C745GZ55","LC-NP-NUDE","Lillypads® Premium Nippelpads – DAS ORIGINAL – Selbstklebende Nipple Cover für Frauen – Wiederverwendbare Nipple Pads – 8cm – Klebe BH – Für Tiefen Rückenausschnitt – Nude","345.45","162.81","162.81","0.00","40","19","19","0","2","-11.99","-63.49","0.00","0.00","0.00","0.00","0.00","0.00","-6.19","1.60","0.00","-1.84","0.00","-19.90","0.00","-0.32","0.00","0.00","0.00","0.00","0.00","0.00","-1.85","3.70","-1.85","-38.97","0.00","0.00","0.00","-107.97","-10.92","0.00","0.00","0.00","248.27","-109.15","0.00","0.00","0.00","0.00","-75.53","65.44","65.44","12.87","12.49","126","46.83","-63.49","0.00","59.95"
"07/10/2025","Amazon.de","B086ZV2C56","VOMENO-GWG12","Vomeno® 12er Set Gewürzgläser mit Edelstahl Aroma-Deckel – Hochwertige Gewürzdosen für Gewürze & Kräuter – Vorratsdosen/Gläser inkl. Gewürz-Streuer (leer)","35.90","179.50","179.50","0.00","2","10","10","0","0","0.00","-66.93","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-32.28","0.00","0.00","0.00","-51.81","-14.07","0.00","0.00","0.00","50.31","0.00","0.00","0.00","0.00","0.00","-34.52","15.79","15.79","7.33","31.07","191","6.81","-66.93","0.00","0.00"
"07/10/2025","Amazon.de","B0F1TJMJD2","LC-PUP-M","Lillypads® Push Up Pads – DAS ORIGINAL - Selbstklebende BH Einlagen für Push-Up Effekt – Klebe BH - Wiederverwendbare BH Klebepads – Sticky Bra Silikon Pads - Cup A–D","95.73","87.75","87.75","0.00","5","5","5","0","2","0.00","-23.45","0.00","0.00","0.00","0.00","0.00","0.00","-6.60","5.98","0.00","-12.40","0.00","-39.90","0.00","-1.20","0.00","0.00","0.00","0.00","0.00","0.00","-27.84","6.96","-27.84","-26.30","0.00","0.00","0.00","-30.90","-43.65","0.00","0.00","0.00","5.06","-34.80","0.00","0.00","0.00","0.00","-23.04","-73.66","-73.66","-40.15","12.78","103","9.71","-23.45","0.00","-211.67"
"07/10/2025","Amazon.de","B0C743KWDS","LC-NP-TANNED","Lillypads® Premium Nippelpads – DAS ORIGINAL – Selbstklebende Nipple Cover für Frauen – Wiederverwendbare Nipple Pads – 8cm – Klebe BH – Für Tiefen Rückenausschnitt – Tanned","58.17","0.00","0.00","0.00","7","0","0","0","0","-1.67","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-4.50","0.00","0.00","0.00","-13.02","-2.61","0.00","0.00","0.00","36.37","-12.95","0.00","0.00","0.00","0.00","-9.08","14.34","14.34","24.65","0.00","22","31.82","0.00","0.00","110.73"
"07/10/2025","Amazon.de","B0FL2WXF6Z","LC-PUP-M2","Lillypads® Push Up Pads – DAS ORIGINAL - Selbstklebende BH Einlagen für Push-Up Effekt – Klebe BH - Wiederverwendbare BH Klebepads – Sticky Bra Silikon Pads - Cup A–D","92.74","0.00","0.00","0.00","5","0","0","0","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-4.20","2.99","0.00","-1.55","0.00","-19.95","0.00","-0.60","0.00","0.00","0.00","0.00","0.00","0.00","-3.48","3.48","-3.48","-13.15","0.00","0.00","0.00","-15.45","-10.71","0.00","0.00","0.00","30.12","-17.40","0.00","0.00","0.00","0.00","-11.50","1.22","1.22","1.32","0.00","16","31.25","0.00","0.00","7.01"
"07/10/2025","Amazon.de","B0F1TCVQLV","LC-PUP-L","Lillypads® Push Up Pads – DAS ORIGINAL - Selbstklebende BH Einlagen für Push-Up Effekt – Klebe BH - Wiederverwendbare BH Klebepads – Sticky Bra Silikon Pads - Cup A–D","16.95","0.00","0.00","0.00","1","0","0","0","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.99","0.00","0.00","0.00","-19.95","0.00","-0.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.48","0.00","-2.54","0.00","0.00","0.00","-3.14","-25.65","0.00","0.00","0.00","-31.94","-3.48","0.00","0.00","0.00","0.00","0.62","-31.32","-31.32","-184.79","0.00","16","6.25","0.00","0.00","-900.00"
"07/10/2025","Amazon.fr","B0F1TJMJD2","LC-PUP-M","Lillypads® Push Up Pads – DAS ORIGINAL - Selbstklebende BH Einlagen für Push-Up Effekt – Klebe BH - Wiederverwendbare BH Klebepads – Sticky Bra Silikon Pads - Cup A–D","22.52","0.00","0.00","0.00","1","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-3.38","0.00","-0.17","0.00","-5.00","-0.42","0.00","0.00","0.00","13.55","-3.48","0.00","0.00","0.00","0.00","-3.75","6.32","6.32","28.05","0.00","3","33.33","0.00","0.00","181.61"
"07/10/2025","Amazon.nl","B0F1TJMJD2","LC-PUP-M","Lillypads® Push Up Pads – DAS ORIGINAL - Selbstklebende BH Einlagen für Push-Up Effekt – Klebe BH - Wiederverwendbare BH Klebepads – Sticky Bra Silikon Pads - Cup A–D","17.67","0.00","0.00","0.00","1","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-2.65","0.00","0.00","0.00","-3.51","-0.60","0.00","0.00","0.00","10.91","-3.48","0.00","0.00","0.00","0.00","-3.07","4.36","4.36","24.69","0.00","6","16.67","0.00","0.00","125.29"
"07/10/2025","Amazon.de","B0C9WW49K2","LC-BT-NUDE","Lillypads® Premium Boob Tape - DAS ORIGINAL - Brust Tape - Extra Nippelpads - Boobytape - Klebe Push Up BH - Rückenfreier BH - Boobietape - Klebe-BH","0.00","0.00","0.00","0.00","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-3.50","0.00","-3.50","0.00","0.00","0.00","0.00","0.00","-11.14","0.00","0.00","0.00","-11.14","0.00","0.00","0.00","0.00","0.00","0.00","-14.64","-14.64","0.00","0.00","0","0.00","0.00","0.00","0.00"
"07/10/2025","Amazon.fr","B0C9WW49K2","LC-BT-NUDE","Lillypads® Premium Boob Tape - DAS ORIGINAL - Brust Tape - Extra Nippelpads - Boobytape - Klebe Push Up BH - Rückenfreier BH - Boobietape - Klebe-BH","0.00","0.00","0.00","0.00","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.45","0.00","0.00","0.00","-0.45","0.00","0.00","0.00","0.00","0.00","0.00","-0.45","-0.45","0.00","0.00","1","0.00","0.00","0.00","0.00"
